Outlet_Id,Outlet Name,Outlet Class,Outlet Type,Employee_Code,Employee_Name,Warehouse Code,Warehouse Name
1,ابو السعود,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
5,ابو وائل ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
26,الريان,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
69,س.م ابو جلالة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
84,ماركت الجمعية,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
85,احمد شلاطة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
92,العفيفي ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
177,قمرين ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
179,ماركت البيت بيتك,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
185,ملك ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
186,نجمة الميدان,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
209,ابو الحمايل,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
211,العجيزى,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
226,بابا هايبر,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
252,ماركت السوق,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
295,سنتر الجوهري,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
325,ماركت ابو زغو,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
359,ماركت سلمي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
370,هايبر ابن البلد,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
382,ابو جلهوم,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
412,ماركت ابو سعيد,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
414,ماركت الزميتي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
463,ماركت الشيخ,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
494,عباد الرحمن,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
509,بنحمدي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
511,ماركت الحسن,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
519,ماركت السلام,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
526,ماركت الفارس,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
564,عطاره الطيب,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
605,ماركت كنزي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
624,جلهوم ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
626,بسينة مطاوع,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
639,تامر شريف,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
688,عماد,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
732,محمد بلال,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
758,محمد صابر,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
759,ميدو ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
776,محمد عصام,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
871,ماركت ام بطة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
886,ماركت السعادة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
924,ام   صابر   مركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
925,احمد  حبيب,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
961,على  دريم  ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1050,جمعيتي ا/شريف,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1069,ماركت أبو زلط,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1101,ماركت مارتينا,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1113,النجار ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1118,بسملة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1124,س.م. وائل,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1136,سوبر ماركت نورهان,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1138,الاسكندراني,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1152,دريم ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1170,يوسف ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1172,س.م. الحياة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1173,ابو سيفين,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1189,س.م السبعي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1192,س.م الايمان,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1200,س.م. كير مينا,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1210,س.م. النجم الذهبى,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1214,سوبر ماركت الاسيوطى / الكهف,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1304,النورس ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1308,الياسمين,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1312,جدو فتحي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1313,سي تاون,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1322,الانصاري,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1345,اولاد صديق,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1374,ردسى,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1385,المنار ١,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1402,العروسه ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1413,الموده,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1417,ابو  زيد ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1420,الازهر الجديد,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1425,زمزم,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1485,اولاد حسن,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1504,هايبر الكنوز,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1509,ماركت النجمه,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1534,جومانا  ورنا,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1554,القبطان,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1612,ماركت الميدان,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1637,السلاموني,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1658,ماركت محمود عتمان,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1666,مؤسسة بكره احلى,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1703,ماركت الوكيل,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1711,العارف بالله ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1757,ماركت ابو يوسف,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1769,ماركت العائلة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1807,ماركت الهنا,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1820,بقالة سمير,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1829,ماركت رزق البنات,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1845,عيش وجبنة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1856,البان ريتاج,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1857,ماركت الاحمدى,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1897,ماركت الحسناء,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1916,ندى ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
1997,كيرة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2017,سوبر ماركت اياد,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2024,عمرو واياد,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2031,أ / المتولي الرمال,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2037,أحمد يسري,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2045,فتوح ماركت,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2052,ماركت الحجاز,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2054,الأصلي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2078,الأرنؤطي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2125,ابو احمد,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2141,ماركت حمادة مصطفى,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2146,ماركت شيتوس,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2147,ماركت حمادة الدمياطي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2174,Good Drink,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2176,الجمعيه التعاونيه,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2225,بونجورنو,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2233,عمو العطار,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2235,اسواق الخطاب,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2274,ماركت احمد,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2277,المتحدة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2286,اسواق طلباتي,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2290,ماركت الايمان,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2302,ماركت ابو عريضة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
2310,سوبر ماركت العمدة,تجزئه- بقالة,تجزئه,3,Amgad Mohsen,12422,DB 3
